START	0.0	計時起點（10 條展開之基準）
7	21.9	TaiwanStockConvertibleBondInfo|B3|4值欄|無概念|提案 tw.convertible_bond.terms；source_column={IssuanceAmount,InitialDateOfConversion,DueDateOfConversion}；cb_name 屬識別標籤抑或條款內容＝未決|阻塞:概念未定義+多欄如何裝進單一 text 欄未定
11	21.2	TaiwanFuturesTick|B0|0值欄|無概念|不可展開：excluded intraday、庫內零落地列，catalog 5 欄係 API 探測所得而非落地真值 ⇒ 填 source_column 等於登錄不可驗宣稱（違 #1 source-pure）|阻塞:須 Steward 裁 11 條未落地通道是否屬 WM.35「已落地通道」射程
31	9.5	TaiwanStockBalanceSheet|B3|2值欄|草案概念 tw.financial_statement.balance(draft §3.7)|source_column=value（long-form：type=科目為 PK 列鍵、origin_name=供應商原始標籤屬 provenance 非事實載體）|殘留:一概念對全表科目 vs 一科目一概念之粒度未裁（M-W4 列鍵問題之同型）
37	19.6	JapanStockPrice|B4|6值欄|無概念|提案 jp.daily_bar；source_column(observation)={Open,High,Low,Close,Volume}｜結構性發現：Adj_Close 為 WM.15/A.58 衍生觀測，與原始價同表 ⇒ 單一 binding 列只有一個 channel_role，無法同時承載 observation 與 derived，須拆第二列（形制同 draft §3.2 之 DailyShortSaleBalances）|阻塞:命名空間 Q-R8 + A.35 第三項跨市場軸宣告 + 拆列形制
50	9.5	GoldPrice|B2|1值欄|無概念|source_column=Price（機械唯一：恰一非 PK 欄、逐欄唱讀零問題）|殘留:概念命名空間（非 tw. 之第 N 個，Q-R8）＋計價幣別/單位不在 schema 內、A.35 跨市場軸未定 ⇒ 欄3 可機械填，欄1/欄5 仍須人裁
62	28.5	TaiwanStockShareholding|B5|11值欄|草案概念 tw.foreign_ownership.stock(draft §3.4)|逐欄裁定：入 6（ForeignInvestmentShares/SharesRatio/RemainingShares/RemainRatio/UpperLimitRatio、ChineseInvestmentUpperLimitRatio）；出 5（InternationalCode=ISIN 屬 A.28 第二識別碼體系之 identity claim 非持股事實／stock_name=標籤／note=異動原因／NumberOfSharesIssued=另一世界事實(發行股數)應另立概念／RecentlyDeclareDate=Q-R5-iii 可知錨 vs 內容欄兩讀未決）|另發現：兩個 UpperLimitRatio 屬法令上限(監理狀態)抑或持股狀態，可能須再拆一概念
65	11.8	TaiwanOptionInstitutionalInvestorsAfterHours|B3|4值欄|無概念|提案 tw.option.institutional_flow.after_hours；source_column={long_deal_amount,long_deal_volume,short_deal_amount,short_deal_volume}（四欄皆為同一流量事實之維度切面，全數入）|殘留:PK 含 option_id/call_put/institutional_investors 三列鍵 ⇒ 消費端仍須內嵌字面（M-W4 原型）；盤後時段之 A.35 ts 語義與日盤不同、須另宣告
80	30.8	TaiwanStockSplitPrice|B4|6值欄|無概念但 A.21 已明文錨定（股票分割＝一級世界事件、ts=恢復買賣日；catalog 之 date 中文名逐字為『分割恢復買賣日』＝機械對錨）|提案 tw.corporate_action.split（與既有 tw.corporate_action.ex_dividend 平行）；入 3={before_price,after_price,type}|出 3={max_price,min_price,open_price}＝A.26 PriceLimit 逐日參考價/漲跌停之另一世界狀態 ⇒ 同表第二概念、須第二 binding 列
93	12.9	TaiwanBusinessIndicator|B4|8值欄|草案概念 tw.business_cycle_indicator(draft §3.10 單一概念)|**與 A.11 抵觸之發現**：A.11 逐字『每一指標為世界量，非任何供應商之 series 識別』⇒ 領先/同時/落後/對策信號各為獨立世界量，本表 8 值欄應為 7-8 個概念而非 1 個；draft §3.10 之單一概念讀法與 A.11 不一致，須 Steward 裁|monitoring_color 為 monitoring 之分級呈現（同一事實兩表徵，WM.15 衍生）
97	10.3	TaiwanFuturesDaily|B1|0值欄(全PK)|無概念|提案 tw.futures.daily_bar；**機械偵測器在此失效**：13 欄全入 PK，值欄數=0 但事實載體確實存在＝{close,max,min,open,settlement_price,spread,spread_per,volume,open_interest}(9 欄)，鍵={futures_id,contract_date,date,trading_session}|⇒ B1 桶 10 條非『零工作量』而是『值欄偵測器失效』，展開總面 472 為**低估**
